Market Price Type,Centre,Variety Name,Grade,Unit,Max Price,Average Price,Min. Price
Farm Price,"KOTA BHARU, KELANTAN",KACANG PANJANG HIJAU,F.A.Q,KG,400.0,350.0,350.0
Farm Price,"KOTA BHARU, KELANTAN",KANGKUNG,F.A.Q,KG,300.0,250.0,250.0
Farm Price,"KOTA BHARU, KELANTAN",KELAPA DIKUPAS,SEDANG,100 BIJI,150.0,140.0,140.0
Farm Price,"KOTA BHARU, KELANTAN",KETOLA / PETOLA SEGI,F.A.Q,KG,150.0,120.0,120.0
Farm Price,"KOTA BHARU, KELANTAN",SAWI HIJAU,F.A.Q,KG,450.0,400.0,400.0
Farm Price,"KOTA BHARU, KELANTAN",TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,130.0,120.0,120.0
Farm Price,"KOTA BHARU, KELANTAN",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,400.0,350.0,350.0
Farm Price,"KOTA BHARU, KELANTAN",TIMUN HIJAU,F.A.Q,KG,260.0,250.0,250.0
Farm Price,"MELAKA TENGAH, MELAKA",AYAM HIDUP,F.A.Q,KG,560.0,560.0,560.0
Farm Price,"MELAKA TENGAH, MELAKA",BAYAM,F.A.Q,KG,170.0,160.0,160.0
Farm Price,"MELAKA TENGAH, MELAKA",BELIMBING (B10),F.A.Q,KG,140.0,135.0,130.0
Farm Price,"MELAKA TENGAH, MELAKA",BUNGA KANTAN,F.A.Q,TANGKAI,1.0,0.8,0.8
Farm Price,"MELAKA TENGAH, MELAKA",CILI HIJAU,F.A.Q,KG,900.0,850.0,850.0
Farm Price,"MELAKA TENGAH, MELAKA",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,950.0,950.0,900.0
Farm Price,"MELAKA TENGAH, MELAKA",CILI MERAH MINYAK,F.A.Q,KG,950.0,950.0,900.0
Farm Price,"MELAKA TENGAH, MELAKA",KACANG BENDI,F.A.Q,KG,300.0,280.0,280.0
Farm Price,"MELAKA TENGAH, MELAKA",KACANG BUNCIS,F.A.Q,KG,980.0,980.0,900.0
Farm Price,"MELAKA TENGAH, MELAKA",KACANG PANJANG HIJAU,F.A.Q,KG,400.0,400.0,380.0
Farm Price,"MELAKA TENGAH, MELAKA",KANGKUNG,F.A.Q,KG,170.0,160.0,160.0
Farm Price,"MELAKA TENGAH, MELAKA",KELAPA DIKUPAS,SEDANG,100 BIJI,110.0,110.0,110.0
Farm Price,"MELAKA TENGAH, MELAKA",KETOLA / PETOLA SEGI,F.A.Q,KG,250.0,220.0,220.0
Farm Price,"MELAKA TENGAH, MELAKA",PISANG BERANGAN,F.A.Q,KG,220.0,220.0,220.0
Farm Price,"MELAKA TENGAH, MELAKA",PISANG MAS,F.A.Q,KG,150.0,145.0,140.0
Farm Price,"MELAKA TENGAH, MELAKA",SAWI HIJAU,F.A.Q,KG,300.0,250.0,250.0
Farm Price,"MELAKA TENGAH, MELAKA",TELUR AYAM,A,100 BIJI,39.0,39.0,39.0
Farm Price,"MELAKA TENGAH, MELAKA",TELUR AYAM,B,100 BIJI,37.0,37.0,37.0
Farm Price,"MELAKA TENGAH, MELAKA",TELUR AYAM,C,100 BIJI,35.0,35.0,35.0
Farm Price,"MELAKA TENGAH, MELAKA",TEMBIKAI MERAH,F.A.Q,KG,230.0,225.0,220.0
Farm Price,"MELAKA TENGAH, MELAKA",TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,230.0,225.0,220.0
Farm Price,"MELAKA TENGAH, MELAKA",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,500.0,480.0,480.0
Farm Price,"MELAKA TENGAH, MELAKA",TIMUN HIJAU,F.A.Q,KG,180.0,180.0,170.0
Farm Price,"KUALA PILAH, NEGERI SEMBILAN",BAYAM,F.A.Q,KG,200.0,190.0,180.0
Farm Price,"KUALA PILAH, NEGERI SEMBILAN",BETIK SEKAKI,F.A.Q,KG,200.0,175.0,150.0
Farm Price,"KUALA PILAH, NEGERI SEMBILAN",CILI HIJAU,F.A.Q,KG,650.0,625.0,600.0
Farm Price,"KUALA PILAH, NEGERI SEMBILAN",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,1000.0,975.0,950.0
Farm Price,"KUALA PILAH, NEGERI SEMBILAN",KACANG BENDI,F.A.Q,KG,500.0,475.0,450.0
Farm Price,"KUALA PILAH, NEGERI SEMBILAN",KACANG PANJANG HIJAU,F.A.Q,KG,550.0,525.0,500.0
Farm Price,"KUALA PILAH, NEGERI SEMBILAN",KANGKUNG,F.A.Q,KG,200.0,190.0,180.0
Farm Price,"KUALA PILAH, NEGERI SEMBILAN",KELAPA DIKUPAS,SEDANG,100 BIJI,150.0,145.0,140.0
Farm Price,"KUALA PILAH, NEGERI SEMBILAN",KETOLA / PETOLA SEGI,F.A.Q,KG,350.0,325.0,300.0
Farm Price,"KUALA PILAH, NEGERI SEMBILAN",SAWI HIJAU,F.A.Q,KG,320.0,310.0,300.0
Farm Price,"KUALA PILAH, NEGERI SEMBILAN",TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,150.0,135.0,120.0
Farm Price,"KUALA PILAH, NEGERI SEMBILAN",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,450.0,425.0,400.0
Farm Price,"KUALA PILAH, NEGERI SEMBILAN",TIMUN HIJAU,F.A.Q,KG,280.0,265.0,250.0
Farm Price,"SEREMBAN, NEGERI SEMBILAN",AYAM HIDUP,F.A.Q,KG,560.0,560.0,560.0
Farm Price,"SEREMBAN, NEGERI SEMBILAN",TELUR AYAM,A,100 BIJI,39.0,39.0,39.0
Farm Price,"SEREMBAN, NEGERI SEMBILAN",TELUR AYAM,B,100 BIJI,37.0,37.0,37.0
Farm Price,"SEREMBAN, NEGERI SEMBILAN",TELUR AYAM,C,100 BIJI,35.0,35.0,35.0
Farm Price,"CAMERON HIGHLANDS, PAHANG",CILI MERAH MINYAK,F.A.Q,KG,920.0,910.0,900.0
Farm Price,"CAMERON HIGHLANDS, PAHANG",DAUN BAWANG,F.A.Q,KG,310.0,300.0,290.0
Farm Price,"CAMERON HIGHLANDS, PAHANG",DAUN SUP (TANAH TINGGI),F.A.Q,KG,850.0,840.0,830.0
Farm Price,"CAMERON HIGHLANDS, PAHANG",KACANG BUNCIS,F.A.Q,KG,820.0,810.0,800.0
Farm Price,"CAMERON HIGHLANDS, PAHANG",KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,360.0,350.0,340.0
Farm Price,"CAMERON HIGHLANDS, PAHANG",TERUNG PEPARU PANJANG TANAH TINGGI,F.A.Q,KG,660.0,650.0,640.0
Farm Price,"CAMERON HIGHLANDS, PAHANG",TOMATO (TANAH TINGGI),F.A.Q,KG,220.0,210.0,200.0
Farm Price,"KUANTAN, PAHANG",AYAM HIDUP,F.A.Q,KG,560.0,560.0,560.0
Farm Price,"KUANTAN, PAHANG",BAYAM,F.A.Q,KG,200.0,200.0,200.0
Farm Price,"KUANTAN, PAHANG",BELIMBING (B10),F.A.Q,KG,350.0,350.0,350.0
Farm Price,"KUANTAN, PAHANG",BETIK SEKAKI,F.A.Q,KG,120.0,120.0,120.0
Farm Price,"KUANTAN, PAHANG",BUNGA KANTAN,F.A.Q,TANGKAI,0.7,0.7,0.7
Farm Price,"KUANTAN, PAHANG",CILI HIJAU,F.A.Q,KG,850.0,750.0,750.0
Farm Price,"KUANTAN, PAHANG",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,1200.0,1100.0,1100.0
Farm Price,"KUANTAN, PAHANG",CILI MERAH MINYAK,F.A.Q,KG,900.0,900.0,850.0
Farm Price,"KUANTAN, PAHANG",KACANG BENDI,F.A.Q,KG,700.0,600.0,600.0
Farm Price,"KUANTAN, PAHANG",KACANG PANJANG HIJAU,F.A.Q,KG,600.0,600.0,500.0
Farm Price,"KUANTAN, PAHANG",KANGKUNG,F.A.Q,KG,200.0,200.0,200.0
Farm Price,"KUANTAN, PAHANG",KETOLA / PETOLA SEGI,F.A.Q,KG,300.0,300.0,200.0
Farm Price,"KUANTAN, PAHANG",PISANG BERANGAN,F.A.Q,KG,200.0,200.0,200.0
Farm Price,"KUANTAN, PAHANG",PISANG MAS,F.A.Q,KG,200.0,200.0,200.0
Farm Price,"KUANTAN, PAHANG",SAWI HIJAU,F.A.Q,KG,450.0,400.0,400.0
Farm Price,"KUANTAN, PAHANG",TELUR AYAM,A,100 BIJI,39.0,39.0,39.0
Farm Price,"KUANTAN, PAHANG",TELUR AYAM,B,100 BIJI,37.0,37.0,37.0
Farm Price,"KUANTAN, PAHANG",TELUR AYAM,C,100 BIJI,35.0,35.0,35.0
Farm Price,"KUANTAN, PAHANG",TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,120.0,120.0,120.0
Farm Price,"KUANTAN, PAHANG",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,700.0,500.0,400.0
Farm Price,"KUANTAN, PAHANG",TIMUN HIJAU,F.A.Q,KG,300.0,300.0,250.0
Farm Price,"ROMPIN, PAHANG",KELAPA DIKUPAS,BESAR,100 BIJI,130.0,130.0,130.0
Farm Price,"ROMPIN, PAHANG",KELAPA DIKUPAS,KECIL,100 BIJI,110.0,110.0,110.0
Farm Price,"SEBERANG PERAI UTARA, PULAU PINANG",AYAM HIDUP,F.A.Q,KG,610.0,607.5,605.0
Farm Price,"SEBERANG PERAI UTARA, PULAU PINANG",BAYAM,F.A.Q,KG,150.0,140.0,120.0
Farm Price,"SEBERANG PERAI UTARA, PULAU PINANG",BETIK SEKAKI,F.A.Q,KG,240.0,230.0,220.0
Farm Price,"SEBERANG PERAI UTARA, PULAU PINANG",BUNGA KANTAN,F.A.Q,TANGKAI,0.8,0.75,0.7
Farm Price,"SEBERANG PERAI UTARA, PULAU PINANG",CILI HIJAU,F.A.Q,KG,600.0,550.0,500.0
Farm Price,"SEBERANG PERAI UTARA, PULAU PINANG",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,800.0,780.0,750.0
Farm Price,"SEBERANG PERAI UTARA, PULAU PINANG",KACANG BENDI,F.A.Q,KG,600.0,570.0,550.0
Farm Price,"SEBERANG PERAI UTARA, PULAU PINANG",KACANG PANJANG HIJAU,F.A.Q,KG,700.0,690.0,680.0
Farm Price,"SEBERANG PERAI UTARA, PULAU PINANG",KANGKUNG,F.A.Q,KG,150.0,130.0,120.0
Farm Price,"SEBERANG PERAI UTARA, PULAU PINANG",KETOLA / PETOLA SEGI,F.A.Q,KG,240.0,220.0,200.0
Farm Price,"SEBERANG PERAI UTARA, PULAU PINANG",PISANG BERANGAN,F.A.Q,KG,280.0,270.0,260.0
Farm Price,"SEBERANG PERAI UTARA, PULAU PINANG",PISANG MAS,F.A.Q,KG,300.0,290.0,280.0
Farm Price,"SEBERANG PERAI UTARA, PULAU PINANG",SAWI HIJAU,F.A.Q,KG,160.0,150.0,140.0
Farm Price,"SEBERANG PERAI UTARA, PULAU PINANG",TELUR AYAM,A,100 BIJI,39.0,39.0,39.0
Farm Price,"SEBERANG PERAI UTARA, PULAU PINANG",TELUR AYAM,B,100 BIJI,37.0,37.0,37.0
Farm Price,"SEBERANG PERAI UTARA, PULAU PINANG",TELUR AYAM,C,100 BIJI,35.0,35.0,35.0
Farm Price,"SEBERANG PERAI UTARA, PULAU PINANG",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,560.0,550.0,530.0
Farm Price,"SEBERANG PERAI UTARA, PULAU PINANG",TIMUN HIJAU,F.A.Q,KG,380.0,370.0,350.0
Farm Price,"MANJUNG (DINDING), PERAK",KELAPA DIKUPAS,SEDANG,100 BIJI,170.0,170.0,170.0
Farm Price,"KINTA, PERAK",AYAM HIDUP,F.A.Q,KG,650.0,650.0,650.0
Farm Price,"KINTA, PERAK",BAYAM,F.A.Q,KG,120.0,80.0,70.0
Farm Price,"KINTA, PERAK",BELIMBING (B10),F.A.Q,KG,220.0,180.0,165.0
Farm Price,"KINTA, PERAK",BETIK SEKAKI,F.A.Q,KG,200.0,150.0,130.0
Farm Price,"KINTA, PERAK",BUNGA KANTAN,F.A.Q,TANGKAI,0.5,0.4,0.35
Farm Price,"KINTA, PERAK",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,850.0,700.0,600.0
Farm Price,"KINTA, PERAK",KACANG BENDI,F.A.Q,KG,500.0,450.0,400.0
Farm Price,"KINTA, PERAK",KACANG BUNCIS,F.A.Q,KG,750.0,700.0,600.0
Farm Price,"KINTA, PERAK",KACANG PANJANG HIJAU,F.A.Q,KG,500.0,450.0,400.0
Farm Price,"KINTA, PERAK",KANGKUNG,F.A.Q,KG,120.0,80.0,70.0
Farm Price,"KINTA, PERAK",KELAPA DIKUPAS,BESAR,100 BIJI,160.0,150.0,140.0
Farm Price,"KINTA, PERAK",KELAPA DIKUPAS,KECIL,100 BIJI,90.0,85.0,80.0
Farm Price,"KINTA, PERAK",KETOLA / PETOLA SEGI,F.A.Q,KG,300.0,280.0,250.0
Farm Price,"KINTA, PERAK",TELUR AYAM,A,100 BIJI,39.0,39.0,39.0
Farm Price,"KINTA, PERAK",TELUR AYAM,B,100 BIJI,37.0,37.0,37.0
Farm Price,"KINTA, PERAK",TELUR AYAM,C,100 BIJI,35.0,35.0,35.0
Farm Price,"KINTA, PERAK",TIMUN HIJAU,F.A.Q,KG,250.0,200.0,150.0
Farm Price,"HILIR PERAK, PERAK",CILI HIJAU,F.A.Q,KG,450.0,400.0,350.0
Farm Price,"PERAK TENGAH, PERAK",PISANG BERANGAN,F.A.Q,KG,220.0,220.0,200.0
Farm Price,"PERAK TENGAH, PERAK",PISANG MAS,F.A.Q,KG,200.0,200.0,180.0
Farm Price,"PERLIS, PERLIS",AYAM HIDUP,F.A.Q,KG,560.0,560.0,560.0
Farm Price,"PERLIS, PERLIS",BAYAM,F.A.Q,KG,300.0,300.0,300.0
Farm Price,"PERLIS, PERLIS",BETIK SEKAKI,F.A.Q,KG,200.0,200.0,200.0
Farm Price,"PERLIS, PERLIS",BUNGA KANTAN,F.A.Q,TANGKAI,0.7,0.7,0.7
Farm Price,"PERLIS, PERLIS",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,1100.0,1100.0,1100.0
Farm Price,"PERLIS, PERLIS",KACANG BENDI,F.A.Q,KG,450.0,450.0,450.0
Farm Price,"PERLIS, PERLIS",KACANG PANJANG HIJAU,F.A.Q,KG,400.0,400.0,400.0
Farm Price,"PERLIS, PERLIS",KANGKUNG,F.A.Q,KG,300.0,300.0,300.0
Farm Price,"PERLIS, PERLIS",KETOLA / PETOLA SEGI,F.A.Q,KG,200.0,200.0,200.0
Farm Price,"PERLIS, PERLIS",PISANG BERANGAN,F.A.Q,KG,250.0,250.0,250.0
Farm Price,"PERLIS, PERLIS",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,400.0,400.0,400.0
Farm Price,"PERLIS, PERLIS",TIMUN HIJAU,F.A.Q,KG,330.0,330.0,330.0
Farm Price,"KLANG, SELANGOR",AYAM HIDUP,F.A.Q,KG,680.0,665.0,650.0
Farm Price,"KLANG, SELANGOR",BAYAM,F.A.Q,KG,220.0,210.0,200.0
Farm Price,"KLANG, SELANGOR",BELIMBING (B10),F.A.Q,KG,350.0,325.0,300.0
Farm Price,"KLANG, SELANGOR",BETIK SEKAKI,F.A.Q,KG,200.0,190.0,180.0
Farm Price,"KLANG, SELANGOR",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,1000.0,975.0,950.0
Farm Price,"KLANG, SELANGOR",TELUR AYAM,A,100 BIJI,39.0,39.0,39.0
Farm Price,"KLANG, SELANGOR",TELUR AYAM,B,100 BIJI,37.0,37.0,37.0
Farm Price,"KLANG, SELANGOR",TELUR AYAM,C,100 BIJI,35.0,35.0,35.0
Farm Price,"KLANG, SELANGOR",TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,230.0,225.0,220.0
Farm Price,"KLANG, SELANGOR",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,600.0,550.0,500.0
Farm Price,"KLANG, SELANGOR",TIMUN HIJAU,F.A.Q,KG,400.0,375.0,350.0
Farm Price,"KUALA TERENGGANU, TERENGGANU",AYAM HIDUP,F.A.Q,KG,640.0,640.0,630.0
Farm Price,"KUALA TERENGGANU, TERENGGANU",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,1200.0,1100.0,1000.0
Farm Price,"KUALA TERENGGANU, TERENGGANU",KACANG PANJANG HIJAU,F.A.Q,KG,600.0,600.0,600.0
Farm Price,"KUALA TERENGGANU, TERENGGANU",KANGKUNG,F.A.Q,KG,450.0,400.0,400.0
Farm Price,"KUALA TERENGGANU, TERENGGANU",SAWI HIJAU,F.A.Q,KG,600.0,550.0,500.0
Farm Price,"KUALA TERENGGANU, TERENGGANU",TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,200.0,200.0,180.0
Farm Price,"KUALA TERENGGANU, TERENGGANU",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,600.0,600.0,500.0
Farm Price,"KUALA TERENGGANU, TERENGGANU",TIMUN HIJAU,F.A.Q,KG,250.0,250.0,200.0
Farm Price,"KOTA KINABALU, SABAH",BAYAM,F.A.Q,KG,160.0,150.0,150.0
Farm Price,"KOTA KINABALU, SABAH",BELIMBING (B10),F.A.Q,KG,250.0,250.0,200.0
Farm Price,"KOTA KINABALU, SABAH",BETIK SEKAKI,F.A.Q,KG,120.0,120.0,100.0
Farm Price,"KOTA KINABALU, SABAH",BUNGA KANTAN,F.A.Q,TANGKAI,1.0,0.9,0.9
Farm Price,"KOTA KINABALU, SABAH",CILI HIJAU,F.A.Q,KG,1200.0,1200.0,1100.0
Farm Price,"KOTA KINABALU, SABAH",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,1250.0,1200.0,1200.0
Farm Price,"KOTA KINABALU, SABAH",CILI MERAH MINYAK,F.A.Q,KG,1250.0,1200.0,1200.0
Farm Price,"KOTA KINABALU, SABAH",DAUN BAWANG,F.A.Q,KG,800.0,700.0,700.0
Farm Price,"KOTA KINABALU, SABAH",DAUN SUP (TANAH TINGGI),F.A.Q,KG,700.0,700.0,650.0
Farm Price,"KOTA KINABALU, SABAH",KACANG BENDI,F.A.Q,KG,200.0,200.0,180.0
Farm Price,"KOTA KINABALU, SABAH",KACANG BUNCIS,F.A.Q,KG,450.0,400.0,400.0
Farm Price,"KOTA KINABALU, SABAH",KACANG PANJANG HIJAU,F.A.Q,KG,200.0,200.0,160.0
Farm Price,"KOTA KINABALU, SABAH",KANGKUNG,F.A.Q,KG,120.0,100.0,100.0
Farm Price,"KOTA KINABALU, SABAH",KELAPA DIKUPAS,SEDANG,100 BIJI,120.0,100.0,100.0
Farm Price,"KOTA KINABALU, SABAH",KETOLA / PETOLA SEGI,F.A.Q,KG,160.0,160.0,150.0
Farm Price,"KOTA KINABALU, SABAH",KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,180.0,180.0,160.0
Farm Price,"KOTA KINABALU, SABAH",PISANG BERANGAN,F.A.Q,KG,130.0,120.0,120.0
Farm Price,"KOTA KINABALU, SABAH",PISANG MAS,F.A.Q,KG,180.0,180.0,160.0
Farm Price,"KOTA KINABALU, SABAH",SAWI HIJAU,F.A.Q,KG,400.0,300.0,300.0
Farm Price,"KOTA KINABALU, SABAH",TELUR AYAM,A,100 BIJI,42.0,42.0,41.0
Farm Price,"KOTA KINABALU, SABAH",TELUR AYAM,B,100 BIJI,41.0,41.0,40.0
Farm Price,"KOTA KINABALU, SABAH",TELUR AYAM,C,100 BIJI,40.0,40.0,39.0
Farm Price,"KOTA KINABALU, SABAH",TEMBIKAI MERAH,F.A.Q,KG,160.0,150.0,150.0
Farm Price,"KOTA KINABALU, SABAH",TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,160.0,160.0,150.0
Farm Price,"KOTA KINABALU, SABAH",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,160.0,160.0,150.0
Farm Price,"KOTA KINABALU, SABAH",TIMUN HIJAU,F.A.Q,KG,120.0,100.0,100.0
Farm Price,"KOTA KINABALU, SABAH",TOMATO (TANAH TINGGI),F.A.Q,KG,450.0,450.0,400.0
Farm Price,"KUCHING, SARAWAK",AYAM HIDUP,F.A.Q,KG,780.0,765.0,750.0
Farm Price,"KUCHING, SARAWAK",BAYAM,F.A.Q,KG,300.0,250.0,200.0
Farm Price,"KUCHING, SARAWAK",BELIMBING (B10),F.A.Q,KG,300.0,300.0,300.0
Farm Price,"KUCHING, SARAWAK",BETIK SEKAKI,F.A.Q,KG,280.0,250.0,230.0
Farm Price,"KUCHING, SARAWAK",BUNGA KANTAN,F.A.Q,TANGKAI,0.5,0.5,0.45
Farm Price,"KUCHING, SARAWAK",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,1200.0,1150.0,1100.0
Farm Price,"KUCHING, SARAWAK",DAUN BAWANG,F.A.Q,KG,2400.0,2300.0,2200.0
Farm Price,"KUCHING, SARAWAK",KACANG BENDI,F.A.Q,KG,850.0,800.0,750.0
Farm Price,"KUCHING, SARAWAK",KACANG BUNCIS,F.A.Q,KG,1000.0,900.0,800.0
Farm Price,"KUCHING, SARAWAK",KACANG PANJANG HIJAU,F.A.Q,KG,400.0,400.0,400.0
Farm Price,"KUCHING, SARAWAK",KANGKUNG,F.A.Q,KG,200.0,200.0,200.0
Farm Price,"KUCHING, SARAWAK",KELAPA DIKUPAS,BESAR,100 BIJI,160.0,155.0,150.0
Farm Price,"KUCHING, SARAWAK",KELAPA DIKUPAS,KECIL,100 BIJI,75.0,70.0,65.0
Farm Price,"KUCHING, SARAWAK",KELAPA DIKUPAS,SEDANG,100 BIJI,90.0,80.0,70.0
Farm Price,"KUCHING, SARAWAK",KETOLA / PETOLA SEGI,F.A.Q,KG,350.0,300.0,250.0
Farm Price,"KUCHING, SARAWAK",PISANG BERANGAN,F.A.Q,KG,250.0,230.0,200.0
Farm Price,"KUCHING, SARAWAK",PISANG MAS,F.A.Q,KG,150.0,150.0,150.0
Farm Price,"KUCHING, SARAWAK",SAWI HIJAU,F.A.Q,KG,450.0,450.0,450.0
Farm Price,"KUCHING, SARAWAK",TELUR AYAM,A,100 BIJI,43.0,43.0,43.0
Farm Price,"KUCHING, SARAWAK",TELUR AYAM,B,100 BIJI,41.0,41.0,41.0
Farm Price,"KUCHING, SARAWAK",TELUR AYAM,C,100 BIJI,39.0,39.0,39.0
Farm Price,"KUCHING, SARAWAK",TEMBIKAI MERAH,F.A.Q,KG,250.0,230.0,200.0
Farm Price,"KUCHING, SARAWAK",TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,250.0,230.0,200.0
Farm Price,"KUCHING, SARAWAK",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,1000.0,1000.0,1000.0
Farm Price,"KUCHING, SARAWAK",TIMUN HIJAU,F.A.Q,KG,250.0,200.0,150.0
Farm Price,"SIBU, SARAWAK",AYAM HIDUP,F.A.Q,KG,600.0,600.0,600.0
